Marca de Tiempo, Uso de Memoria (%)
00:10:54, 43.2
00:10:55, 43.3
00:10:56, 43.3
00:10:57, 43.2
00:10:58, 43.3
00:10:59, 43.3
00:11:00, 43.3
00:11:01, 43.3
00:11:02, 43.3
00:11:03, 43.3
00:11:04, 43.4
00:11:05, 43.3
00:11:06, 43.4
00:11:07, 43.5
00:11:08, 43.4
00:11:09, 43.4
00:11:10, 43.3
00:11:11, 43.2
00:11:12, 43.2
00:11:13, 43.4
00:11:14, 43.3
00:11:15, 43.5
00:11:16, 43.6
00:11:17, 43.7
00:11:18, 43.8
00:11:19, 44.1
00:11:20, 43.8
00:11:21, 43.9
00:11:22, 44.0
00:11:23, 44.0
00:11:24, 44.0
00:11:25, 43.9
00:11:26, 43.8
00:11:27, 43.5
00:11:28, 43.6
00:11:29, 43.6
00:11:30, 43.5
00:11:31, 43.7
00:11:32, 43.7
00:11:33, 43.8
00:11:34, 43.8
00:11:35, 43.5
00:11:36, 43.7
00:11:37, 43.7
00:11:38, 43.7
00:11:39, 43.2
00:11:40, 43.4
00:11:41, 43.4
00:11:42, 43.4
00:11:43, 43.4
00:11:44, 43.3
00:11:45, 43.1
00:11:46, 43.1
00:11:47, 43.2
00:11:48, 43.2
00:11:49, 43.1
00:11:50, 43.3
00:11:51, 43.3
00:11:52, 43.3
00:11:53, 43.2
00:11:54, 43.2
00:11:55, 43.3
00:11:56, 43.3
00:11:57, 43.2
00:11:58, 43.2
00:11:59, 43.0
00:12:00, 43.0
00:12:01, 43.1
00:12:02, 43.1
